,gp_asymptomatic_male,gp_mild_male,gp_ifr_male,gp_hospital_ifr_male,gp_icu_ifr_male,gp_hospital_male,gp_icu_male,gp_home_ifr_male,gp_asymptomatic_female,gp_mild_female,gp_ifr_female,gp_hospital_ifr_female,gp_icu_ifr_female,gp_hospital_female,gp_icu_female,gp_home_ifr_female,ch_asymptomatic_male,ch_mild_male,ch_ifr_male,ch_hospital_ifr_male,ch_icu_ifr_male,ch_hospital_male,ch_icu_male,ch_home_ifr_male,ch_asymptomatic_female,ch_mild_female,ch_ifr_female,ch_hospital_ifr_female,ch_icu_ifr_female,ch_hospital_female,ch_icu_female,ch_home_ifr_female
"[0, 4]",0.456,0.5329999999999999,1.430150478236103e-05,0.0,0.0,0.0009103479272531931,9.10347927253193e-05,1.4301504782361033e-05,0.456,0.5329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.5329999999999999,0.06657309603332012,1.5310598812212848,1.5310598812212848,110.55994192866352,11.05599419286635,0.0,0.456,0.5329999999999999,0.061371051836574216,0.0,0.0,82.80086248524046,8.280086248524045,0.061371051836574216
"[5, 9]",0.456,0.5329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.5329999999999999,0.0,7.338230952493078e-06,7.338230952493078e-06,0.00035574522576505946,3.557452257650595e-05,0.0,0.456,0.5329999999999999,0.06657309603332014,0.0,0.0,0.0,0.0,0.06657309603332014,0.456,0.5329999999999999,0.061371051836574216,0.0,0.0,0.0,0.0,0.061371051836574216
"[10, 14]",0.41200000000000003,0.569,1.2740759063524098e-05,1.472364985703255e-05,1.472364985703255e-05,0.000653227429185483,6.532274291854829e-05,0.0,0.41200000000000003,0.569,6.495986916382659e-06,7.743090403019806e-06,7.743090403019806e-06,0.00043793416128083505,4.3793416128083494e-05,0.0,0.41200000000000003,0.569,0.06657309603332014,0.0,0.0,0.0,0.0,0.06657309603332014,0.41200000000000003,0.569,0.061371051836574216,0.0,0.0,0.0,0.0,0.061371051836574216
"[15, 19]",0.41200000000000003,0.569,2.760336997299138e-05,3.986693306453814e-05,3.986693306453814e-05,0.0010290797857869522,0.00010290797857869523,0.0,0.41200000000000003,0.569,2.5871190827987533e-05,3.370088871412244e-05,3.370088871412244e-05,0.0008764502303245993,8.764502303245994e-05,0.0,0.41200000000000003,0.569,0.06657309603332012,0.0,0.0,0.0,0.0,0.06657309603332012,0.41200000000000003,0.569,0.06137105183657421,0.0,0.0,2.2009665764107864,0.22009665764107866,0.06137105183657421
"[20, 24]",0.37,0.597,3.7684651329256426e-05,0.00011305693337573954,0.00011305693337573954,0.0016099536995944983,0.0002440012421623782,0.0,0.37,0.597,3.8801520296702996e-05,7.47005428837545e-05,7.47005428837545e-05,0.001863494425919945,0.0002347037570356561,0.0,0.37,0.597,0.06657309603332015,0.0,0.0,0.13867129548799484,0.021155060620490582,0.06657309603332015,0.37,0.597,0.061371051836574216,0.0,0.0,0.42561627233138627,0.05357798501416577,0.061371051836574216
"[25, 29]",0.37,0.597,0.0001662448906743376,0.0002122901776569243,0.00017288083539624265,0.002072945972307551,0.0004880961445491839,0.0,0.37,0.597,9.509413152542916e-05,0.00011667424973677628,9.502746995791579e-05,0.0028280964088829587,0.0002977773201157717,0.0,0.37,0.597,0.06657309603332014,0.0,0.0,0.6393475593521649,0.15067189839398007,0.06657309603332014,0.37,0.597,0.06137105183657422,0.0,0.0,1.7346749158226902,0.1827957996787452,0.06137105183657422
"[30, 34]",0.332,0.614,0.00025576450827852063,0.0003374805623831824,0.00023741835467112893,0.0034773664165396265,0.0008869947636242171,0.0,0.332,0.614,0.00020133007045825986,0.0002487764835754895,0.00017481606231408068,0.003958977305585542,0.0005188547134938674,0.0,0.332,0.614,0.06657309603332014,0.0,0.0,0.18326673825040743,0.04697362898272525,0.06657309603332014,0.332,0.614,0.061371051836574216,0.0,0.0,0.289855339354751,0.03820386482588546,0.061371051836574216
"[35, 39]",0.332,0.614,0.000550545394376282,0.0005278248274048561,0.0004066715054565257,0.007548588432731715,0.0022447750689629144,2.2720566971425815e-05,0.332,0.614,0.0004128570024525746,0.00018322644589734125,0.00014115396590087958,0.005202788163932968,0.0007451333081374033,0.00022963055655523336,0.332,0.614,0.06657309603332014,0.043899474820305644,0.03385610685698227,0.18562279305187485,0.05521307744372193,0.0226736212130145,0.332,0.614,0.061371051836574216,0.1350064016753472,0.10405498318393623,0.5708556984210134,0.08194004518227935,0.0
"[40, 44]",0.29600000000000004,0.616,0.0013822665061258902,0.0013504568535060123,0.0009928438769953264,0.011336737664476,0.003451519728411391,3.180965261987784e-05,0.29600000000000004,0.616,0.0008046718892281938,0.0005702809490890824,0.00041929271282361213,0.007439172825682418,0.0012764848867115566,0.00023439094013911127,0.29600000000000004,0.616,0.06657309603332014,0.0,0.0,0.5006792889063851,0.15273355006525854,0.06657309603332014,0.29600000000000004,0.616,0.0613710518365742,0.05428413653381539,0.03987227637538494,0.11476644177478096,0.01978719139594075,0.007086915302758805
"[45, 49]",0.29600000000000004,0.616,0.0021457688571113556,0.0020228167540846426,0.001442533301366653,0.015377107868111367,0.0051146425577440185,0.00012295210302671315,0.29600000000000004,0.616,0.0013828581826756028,0.0007593218257414901,0.0005414898705882469,0.008578809999958322,0.001667818574345404,0.0006235363569341124,0.29600000000000004,0.616,0.06657309603332014,0.0,0.0,0.5078520515986239,0.1686457388773478,0.06657309603332014,0.29600000000000004,0.616,0.06137105183657421,0.06809864962484799,0.048564003257667285,0.7198640529395567,0.13995677240931778,0.0
"[50, 54]",0.265,0.602,0.00411862881809306,0.002920428393230643,0.002110503971473939,0.020669722395180015,0.006295250317330295,0.0011982004248624176,0.265,0.602,0.002242450906687056,0.0015766987347259579,0.0011394994981773598,0.012293689414115834,0.0025651536594283163,0.000665752171961098,0.265,0.602,0.06657309603332014,0.11234682861601443,0.08123916606005743,0.5259403104732949,0.16003313964145152,0.0,0.265,0.602,0.061371051836574216,0.022440890169000974,0.016216065068527387,0.4507187947408972,0.09399669818520127,0.038930161667573245
"[55, 59]",0.265,0.602,0.008853611084178006,0.007081362729931255,0.004900395493884692,0.03342274648677696,0.011277707905188335,0.0017722483542467512,0.265,0.602,0.004058458808972841,0.0024566844032965942,0.0017004018181093132,0.016778271306838226,0.003257636787626565,0.0016017744056762474,0.265,0.602,0.06657309603332015,0.06685684864167897,0.046267105445491515,0.3957727750147124,0.13357635764932646,0.0,0.265,0.602,0.06137105183657421,0.08737092055689583,0.06039236302953428,0.480266442438571,0.09319922275394191,0.0
"[60, 64]",0.23800000000000002,0.5710000000000001,0.01480692163223977,0.010927979829982087,0.006059838578875059,0.045219310703434774,0.013628712146084628,0.003878941802257683,0.23800000000000002,0.5710000000000001,0.007187822661501863,0.0057551784995168035,0.0031905620120532443,0.02478846606278365,0.0045118704751482604,0.0014326441619850587,0.23800000000000002,0.5710000000000001,0.06657309603332014,0.15520017601769073,0.08606651001874041,0.43749483370768316,0.13184606508352034,0.0,0.23800000000000002,0.5710000000000001,0.06137105183657421,0.10885314176421068,0.060350093284484936,0.5178040813844361,0.09424450604564619,0.0
"[65, 69]",0.23800000000000002,0.5710000000000001,0.03579641217679444,0.029288347161590577,0.012894860195709672,0.10410153935732902,0.02492555095849609,0.006508065015203865,0.23800000000000002,0.5710000000000001,0.017699302237022815,0.014615616718102676,0.00643024773910123,0.056966465378423314,0.00883149746943887,0.0030836855189201396,0.23800000000000002,0.5710000000000001,0.24196158312138488,0.12140550521360012,0.05331383948443803,0.38500965663942155,0.09192944822349906,0.12055607790778476,0.23800000000000002,0.5710000000000001,0.1785788549988066,0.12830709097506196,0.056404901044153355,0.3329152769953483,0.05157084203997553,0.05027176402374465
"[70, 74]",0.214,0.523,0.05392728563454406,0.048050954564286125,0.015025126751500932,0.150003380132246,0.026968481119119217,0.005876331070257938,0.214,0.523,0.025961667083247694,0.021804310166754996,0.00681167629038663,0.07947125428497046,0.007961672395230261,0.004157356916492695,0.214,0.523,0.344975494617135,0.15017148300532654,0.046724096659203844,0.2704540717867523,0.04846936708243519,0.19480401161180846,0.214,0.523,0.2361863582842214,0.09448619773290796,0.029368128897786765,0.25851402818676994,0.025759224097513744,0.14170016055131346
"[75, 79]",0.214,0.523,0.09374527777579704,0.07793649130251727,0.0140721233027318,0.2431483275856377,0.02766230180231704,0.01580878647327976,0.214,0.523,0.04727617825493238,0.04179732115461506,0.007515244905333241,0.13583145019665713,0.007619108593025347,0.005478857100317328,0.214,0.523,0.44871362536130005,0.20338111665187505,0.036166670968023194,0.29354698200830337,0.032767636874632904,0.2453325087094249,0.214,0.523,0.27866127251852507,0.08296997260391623,0.014660959332951721,0.23388462112919106,0.012821848302933467,0.1956912999146088
"[80, 84]",0.192,0.461,0.15408190967065064,0.1312247573299112,0.010226684262397317,0.37624720584238663,0.010493793277158329,0.022857152340739446,0.192,0.461,0.08214126419627704,0.06761638748583926,0.005215440247894596,0.2250047819100662,0.005475496471348971,0.014524876710437779,0.192,0.461,0.4823761100102436,0.1770076004309276,0.013228763752179915,0.2521957477243873,0.006809842543185878,0.305368509579316,0.192,0.461,0.2825544524599731,0.07417935888063107,0.005518736554548864,0.13559132903952142,0.003278527026287887,0.2083750935793421
"[85, 89]",0.192,0.461,0.23262913006376448,0.20249888674289554,0.006364668688514779,0.5742188225167959,0.013600773946794823,0.03013024332086894,0.192,0.461,0.1314588408002702,0.10561190180513617,0.003276688571876145,0.3426419043690556,0.008115712866389894,0.02584693899513401,0.192,0.461,0.44565048774242844,0.14963320528870686,0.0045368779559462735,0.16696331620299143,0.003954642780832372,0.2960172824537215,0.192,0.461,0.25464503424751467,0.061351666797369274,0.0018389276490253304,0.13968604858735165,0.003308561642111615,0.19329336745014541
"[90, 94]",0.192,0.461,0.34186229353738706,0.2834706925752982,0.006053632242458629,0.7025783620507117,0.016641059309548494,0.05839160096208888,0.192,0.461,0.22195586490089989,0.14414695886673104,0.0030761577666436313,0.47740916562360064,0.011307769594377237,0.07780890603416886,0.192,0.461,0.5369897928887095,0.10742189063004544,0.002304624359013101,0.16276161096405478,0.0038551224570377456,0.42956790225866415,0.192,0.461,0.3373363981281799,0.06426483099668868,0.0013776589522241061,0.10541438340287619,0.0024968133108547543,0.27307156713149117
"[90, 99]",0.192,0.461,0.3161178144770436,0.30204839099695346,0.006648883172719237,0.7463120100595314,0.017676921313914004,0.014069423480090156,0.192,0.461,0.19520560711485144,0.15620533593568678,0.0034358080693896588,0.49830257536763145,0.01180264459979908,0.03900027117916468,0.192,0.461,0.5369897928887095,0.08918553776159632,0.0019758413770194646,0.13504564019150114,0.00319865032757799,0.4478042551271132,0.192,0.461,0.33733639812817995,0.05592873063391021,0.001237262391747427,0.10346298367214818,0.002450593045031455,0.28140766749426965
